invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
79,100,587056,2014-06-30,2184.50,2184.50,0.00,4,2014-08-09,2014-08-07
78,121,97/522,2014-06-28,1962.13,1762.13,200.00,3,2014-07-28,2014-07-30
77,121,97/553,2014-06-25,904.14,904.14,0.00,3,2014-07-25,2014-07-25
74,102,109596,2014-06-24,41.80,41.80,0.00,4,2014-08-03,2014-08-04
75,123,7548906-20,2014-06-24,27.00,27.00,0.00,3,2014-07-24,2014-07-24
76,123,963253248,2014-06-24,241.00,241.00,0.00,3,2014-07-24,2014-07-25
73,114,CBM9920-M-T77109,2014-06-23,290.00,290.00,0.00,1,2014-07-03,2014-06-29
69,80,133560,2014-06-22,175.00,175.00,0.00,2,2014-07-12,2014-07-16
70,115,24780512,2014-06-22,6.00,6.00,0.00,4,2014-08-01,2014-07-29
71,123,963253254,2014-06-22,108.50,108.50,0.00,3,2014-07-22,2014-07-20
72,123,43966316,2014-06-22,10.00,10.00,0.00,3,2014-07-22,2014-07-17
68,81,MABO1489,2014-06-21,936.93,936.93,0.00,2,2014-07-11,2014-07-10
67,122,989319-487,2014-06-20,1927.54,1927.54,0.00,3,2014-07-20,2014-07-18
65,99,509786,2014-06-18,6940.25,6940.25,0.00,3,2014-07-18,2014-07-15
66,123,263253253,2014-06-18,31.95,31.95,0.00,3,2014-07-18,2014-07-21
64,123,963253267,2014-06-17,23.50,23.50,0.00,3,2014-07-17,2014-07-19
63,122,989319-427,2014-06-16,2115.81,2115.81,0.00,3,2014-07-16,2014-07-19
61,115,24946731,2014-06-15,25.67,25.67,0.00,4,2014-07-25,2014-07-26
62,123,963253269,2014-06-15,26.75,26.75,0.00,3,2014-07-15,2014-07-11
60,122,989319-497,2014-06-12,2312.20,2312.20,0.00,3,2014-07-12,2014-07-09
56,86,367447,2014-06-11,2433.00,2433.00,0.00,1,2014-06-21,2014-06-17
57,103,75C-90227,2014-06-11,1367.50,1367.50,0.00,5,2014-07-31,2014-07-31
58,123,963253256,2014-06-11,53.25,53.25,0.00,3,2014-07-11,2014-07-07
59,123,4-314-3057,2014-06-11,13.75,13.75,0.00,3,2014-07-11,2014-07-15
54,121,97/553B,2014-06-10,313.55,313.55,0.00,3,2014-07-10,2014-07-09
55,123,963253245,2014-06-10,40.75,40.75,0.00,3,2014-07-10,2014-07-12
52,34,Q545443,2014-06-09,1083.58,1083.58,0.00,1,2014-06-19,2014-06-23
53,95,111-92R-10092,2014-06-09,46.21,46.21,0.00,2,2014-06-29,2014-07-02
51,122,989319-477,2014-06-08,2184.11,2184.11,0.00,3,2014-07-08,2014-07-08
50,37,547479217,2014-06-07,116.00,116.00,0.00,3,2014-07-07,2014-07-07
49,95,111-92R-10097,2014-06-04,16.33,16.33,0.00,2,2014-06-24,2014-06-26
46,37,547481328,2014-06-03,224.00,224.00,0.00,3,2014-07-03,2014-07-04
47,83,31359783,2014-06-03,1575.00,1575.00,0.00,2,2014-06-23,2014-06-21
48,123,1-202-2978,2014-06-03,33.00,33.00,0.00,3,2014-07-03,2014-07-05
43,72,40318,2014-06-01,21842.00,21842.00,0.00,3,2014-07-01,2014-06-29
44,95,111-92R-10094,2014-06-01,19.67,19.67,0.00,2,2014-06-21,2014-06-24
45,122,989319-437,2014-06-01,2765.36,2765.36,0.00,3,2014-07-01,2014-06-28
