invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
114,123,963253249,2014-08-02,127.75,127.75,0.00,3,2014-09-01,2014-09-04
113,37,547480102,2014-08-01,224.00,0.00,0.00,3,2014-08-31,NULL
112,110,0-2436,2014-07-31,10976.06,0.00,0.00,3,2014-08-30,NULL
111,123,263253257,2014-07-30,22.57,22.57,0.00,3,2014-08-29,2014-09-03
110,80,134116,2014-07-28,90.36,0.00,0.00,2,2014-08-17,NULL
109,121,97/222,2014-07-25,1000.46,1000.46,0.00,3,2014-08-24,2014-08-22
105,106,9982771,2014-07-24,503.20,0.00,0.00,3,2014-08-23,NULL
106,110,0-2060,2014-07-24,23517.58,21221.63,2295.95,3,2014-08-23,2014-08-27
107,122,989319-447,2014-07-24,3689.99,3689.99,0.00,3,2014-08-23,2014-08-19
108,123,963253240,2014-07-24,67.00,67.00,0.00,3,2014-08-23,2014-08-23
102,110,P-0608,2014-07-23,20551.18,0.00,1200.00,3,2014-08-22,NULL
103,122,989319-417,2014-07-23,2051.59,2051.59,0.00,3,2014-08-22,2014-08-24
104,123,263253243,2014-07-23,44.44,44.44,0.00,3,2014-08-22,2014-08-24
100,123,263253270,2014-07-22,67.92,0.00,0.00,3,2014-08-21,NULL
101,123,263253273,2014-07-22,30.75,0.00,0.00,3,2014-08-21,NULL
98,83,31361833,2014-07-21,579.42,0.00,0.00,2,2014-08-10,NULL
99,123,263253268,2014-07-21,59.97,0.00,0.00,3,2014-08-20,NULL
97,90,97-1024A,2014-07-20,356.48,356.48,0.00,2,2014-08-09,2014-08-07
95,82,C73-24,2014-07-19,600.00,600.00,0.00,2,2014-08-08,2014-08-13
96,110,P-0259,2014-07-19,26881.40,26881.40,0.00,3,2014-08-18,2014-08-20
94,123,963253264,2014-07-18,52.25,0.00,0.00,3,2014-08-17,NULL
93,123,4-327-7357,2014-07-16,162.75,162.75,0.00,3,2014-08-15,2014-08-11
91,95,111-92R-10095,2014-07-15,32.70,32.70,0.00,2,2014-08-04,2014-08-06
92,117,111897,2014-07-15,16.62,16.62,0.00,3,2014-08-14,2014-08-14
90,123,963253252,2014-07-12,38.75,38.75,0.00,3,2014-08-11,2014-08-11
89,72,39104,2014-07-10,85.31,0.00,0.00,3,2014-08-09,NULL
87,123,963253244,2014-07-08,60.00,60.00,0.00,3,2014-08-07,2014-08-09
88,123,963253239,2014-07-08,147.25,147.25,0.00,3,2014-08-07,2014-08-11
85,123,963253271,2014-07-07,158.00,158.00,0.00,3,2014-08-06,2014-08-11
86,123,963253230,2014-07-07,739.20,739.20,0.00,3,2014-08-06,2014-08-06
83,95,111-92R-10093,2014-07-06,39.77,39.77,0.00,2,2014-07-26,2014-07-22
84,123,963253258,2014-07-06,111.00,111.00,0.00,3,2014-08-05,2014-08-05
82,94,203339-13,2014-07-05,17.50,17.50,0.00,2,2014-07-25,2014-07-27
81,123,263253265,2014-07-02,26.25,26.25,0.00,3,2014-08-01,2014-07-28
80,122,989319-467,2014-07-01,2318.03,2318.03,0.00,3,2014-07-31,2014-07-29
